route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
17,11,3293,"RvLN CAMDEN",0,"343RL297",1492
17,11,3294,"RvLN CAMDEN",0,"343RL299",1492
17,11,3295,"RvLN CAMDEN",0,"343RL301",1492
17,11,3296,"RvLN CAMDEN",0,"343RL303",1492
17,11,3297,"RvLN CAMDEN",0,"343RL307",1492
17,11,3298,"RvLN CAMDEN",0,"343RL309",1492
17,11,3299,"RvLN CAMDEN",0,"343RL313",1492
17,11,3300,"RvLN CAMDEN",0,"343RL317",1492
17,11,3301,"RvLN CAMDEN",0,"343RL321",1492
17,11,3302,"RvLN CAMDEN",0,"343RL325",1492
17,11,3303,"RvLN CAMDEN",0,"343RL329",1492
17,11,3304,"RvLN BURLINGTON SOUTH",0,"343RL333",1493
17,11,3305,"RvLN CAMDEN",0,"343RL821",1494
17,11,3306,"RvLN CAMDEN",0,"343RL823",1494
17,11,3307,"RvLN CAMDEN",0,"343RL825",1494
17,11,3308,"RvLN CAMDEN",0,"343RL205",1495
17,11,3309,"RvLN WALTER RAND TRANSP CENT",0,"343RL705",1496
17,11,3310,"RvLN WALTER RAND TRANSP CENT",0,"343RL331",1497
17,11,3311,"RvLN TRENTON",1,"343RL208",1498
17,11,3312,"RvLN TRENTON",1,"343RL210",1498
17,11,3313,"RvLN TRENTON",1,"343RL214",1498
17,11,3314,"RvLN TRENTON",1,"343RL216",1498
17,11,3315,"RvLN TRENTON",1,"343RL218",1498
17,11,3316,"RvLN TRENTON",1,"343RL222",1498
17,11,3317,"RvLN TRENTON",1,"343RL224",1498
17,11,3318,"RvLN TRENTON",1,"343RL226",1498
17,11,3319,"RvLN TRENTON",1,"343RL228",1498
17,11,3320,"RvLN TRENTON",1,"343RL232",1498
17,11,3321,"RvLN TRENTON",1,"343RL236",1498
17,11,3322,"RvLN TRENTON",1,"343RL240",1498
17,11,3323,"RvLN TRENTON",1,"343RL244",1498
17,11,3324,"RvLN TRENTON",1,"343RL248",1498
17,11,3325,"RvLN TRENTON",1,"343RL252",1498
17,11,3326,"RvLN TRENTON",1,"343RL256",1498
17,11,3327,"RvLN TRENTON",1,"343RL260",1498
17,11,3328,"RvLN TRENTON",1,"343RL264",1498
17,11,3329,"RvLN TRENTON",1,"343RL268",1498
17,11,3330,"RvLN TRENTON",1,"343RL272",1498
17,11,3331,"RvLN TRENTON",1,"343RL276",1498
17,11,3332,"RvLN TRENTON",1,"343RL280",1498
17,11,3333,"RvLN TRENTON",1,"343RL284",1498
17,11,3334,"RvLN TRENTON",1,"343RL288",1498
17,11,3335,"RvLN TRENTON",1,"343RL290",1498
17,11,3336,"RvLN TRENTON",1,"343RL292",1498
