shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
KHATIB_TO_MANDAI,1.41579,103.80348,200
KHATIB_TO_MANDAI,1.41585,103.80339,201
KHATIB_TO_MANDAI,1.4159,103.80329,202
KHATIB_TO_MANDAI,1.41591,103.80328,203
KHATIB_TO_MANDAI,1.41597,103.80314,204
KHATIB_TO_MANDAI,1.41598,103.80311,205
KHATIB_TO_MANDAI,1.41603,103.80298,206
KHATIB_TO_MANDAI,1.41607,103.80284,207
KHATIB_TO_MANDAI,1.41609,103.80273,208
KHATIB_TO_MANDAI,1.4161,103.80264,209
KHATIB_TO_MANDAI,1.41611,103.80261,210
KHATIB_TO_MANDAI,1.41612,103.80248,211
KHATIB_TO_MANDAI,1.41612,103.80232,212
KHATIB_TO_MANDAI,1.41611,103.80214,213
KHATIB_TO_MANDAI,1.41611,103.80213,214
KHATIB_TO_MANDAI,1.41607,103.80181,215
KHATIB_TO_MANDAI,1.41605,103.8017,216
KHATIB_TO_MANDAI,1.41603,103.8016,217
KHATIB_TO_MANDAI,1.41596,103.80117,218
KHATIB_TO_MANDAI,1.41594,103.80109,219
KHATIB_TO_MANDAI,1.41593,103.80103,220
KHATIB_TO_MANDAI,1.41586,103.80075,221
KHATIB_TO_MANDAI,1.41578,103.80038,222
KHATIB_TO_MANDAI,1.41572,103.80008,223
KHATIB_TO_MANDAI,1.41562,103.79955,224
KHATIB_TO_MANDAI,1.41561,103.79954,225
KHATIB_TO_MANDAI,1.4156,103.79946,226
KHATIB_TO_MANDAI,1.41555,103.79928,227
KHATIB_TO_MANDAI,1.41544,103.79885,228
KHATIB_TO_MANDAI,1.41536,103.79854,229
KHATIB_TO_MANDAI,1.41534,103.79844,230
KHATIB_TO_MANDAI,1.41524,103.7981,231
KHATIB_TO_MANDAI,1.41521,103.79802,232
KHATIB_TO_MANDAI,1.41512,103.79769,233
KHATIB_TO_MANDAI,1.415,103.79727,234
KHATIB_TO_MANDAI,1.41481,103.79658,235
KHATIB_TO_MANDAI,1.41476,103.79641,236
KHATIB_TO_MANDAI,1.4147,103.79619,237
KHATIB_TO_MANDAI,1.41453,103.79558,238
KHATIB_TO_MANDAI,1.41438,103.79508,239
KHATIB_TO_MANDAI,1.41419,103.79451,240
KHATIB_TO_MANDAI,1.41413,103.79434,241
KHATIB_TO_MANDAI,1.41413,103.79432,242
KHATIB_TO_MANDAI,1.41407,103.79417,243
KHATIB_TO_MANDAI,1.41401,103.79399,244
KHATIB_TO_MANDAI,1.41375,103.79326,245
KHATIB_TO_MANDAI,1.41354,103.79268,246
KHATIB_TO_MANDAI,1.41338,103.79224,247
KHATIB_TO_MANDAI,1.41323,103.7918,248
KHATIB_TO_MANDAI,1.41317,103.79163,249
KHATIB_TO_MANDAI,1.41316,103.79163,250
KHATIB_TO_MANDAI,1.41311,103.79146,251
KHATIB_TO_MANDAI,1.41299,103.79112,252
KHATIB_TO_MANDAI,1.41284,103.79071,253
KHATIB_TO_MANDAI,1.41264,103.79012,254
KHATIB_TO_MANDAI,1.41261,103.79002,255
KHATIB_TO_MANDAI,1.41259,103.78993,256
KHATIB_TO_MANDAI,1.41254,103.78976,257
KHATIB_TO_MANDAI,1.41254,103.78975,258
KHATIB_TO_MANDAI,1.41251,103.78958,259
KHATIB_TO_MANDAI,1.41251,103.78957,260
KHATIB_TO_MANDAI,1.41249,103.7894,261
KHATIB_TO_MANDAI,1.41249,103.78939,262
KHATIB_TO_MANDAI,1.41246,103.7891,263
KHATIB_TO_MANDAI,1.41244,103.78884,264
KHATIB_TO_MANDAI,1.4124,103.78852,265
KHATIB_TO_MANDAI,1.41238,103.78836,266
KHATIB_TO_MANDAI,1.41236,103.7883,267
KHATIB_TO_MANDAI,1.41224,103.78771,268
KHATIB_TO_MANDAI,1.41191,103.78645,269
KHATIB_TO_MANDAI,1.41188,103.78631,270
KHATIB_TO_MANDAI,1.41176,103.78586,271
KHATIB_TO_MANDAI,1.41158,103.78526,272
KHATIB_TO_MANDAI,1.41146,103.78493,273
KHATIB_TO_MANDAI,1.41138,103.78473,274
KHATIB_TO_MANDAI,1.41109,103.78405,275
KHATIB_TO_MANDAI,1.41097,103.78367,276
KHATIB_TO_MANDAI,1.4109,103.78344,277
KHATIB_TO_MANDAI,1.41084,103.78316,278
KHATIB_TO_MANDAI,1.41082,103.78308,279
KHATIB_TO_MANDAI,1.4108,103.78288,280
KHATIB_TO_MANDAI,1.41079,103.78281,281
KHATIB_TO_MANDAI,1.41079,103.78259,282
KHATIB_TO_MANDAI,1.41078,103.78244,283
KHATIB_TO_MANDAI,1.41077,103.78222,284
KHATIB_TO_MANDAI,1.41077,103.78215,285
KHATIB_TO_MANDAI,1.41069,103.78083,286
KHATIB_TO_MANDAI,1.41065,103.78037,287
KHATIB_TO_MANDAI,1.41064,103.78007,288
KHATIB_TO_MANDAI,1.41064,103.77965,289
KHATIB_TO_MANDAI,1.41064,103.77962,290
KHATIB_TO_MANDAI,1.41065,103.77947,291
KHATIB_TO_MANDAI,1.41066,103.77929,292
KHATIB_TO_MANDAI,1.41068,103.7789,293
KHATIB_TO_MANDAI,1.41066,103.77887,294
KHATIB_TO_MANDAI,1.41064,103.77884,295
KHATIB_TO_MANDAI,1.41061,103.77881,296
KHATIB_TO_MANDAI,1.41058,103.77878,297
KHATIB_TO_MANDAI,1.41057,103.77877,298
KHATIB_TO_MANDAI,1.41056,103.77876,299
KHATIB_TO_MANDAI,1.41054,103.77875,300
KHATIB_TO_MANDAI,1.41048,103.77874,301
KHATIB_TO_MANDAI,1.41042,103.77873,302
KHATIB_TO_MANDAI,1.41029,103.77866,303
KHATIB_TO_MANDAI,1.41014,103.77877,304
KHATIB_TO_MANDAI,1.41,103.77888,305
KHATIB_TO_MANDAI,1.40993,103.77894,306
KHATIB_TO_MANDAI,1.40987,103.77899,307
KHATIB_TO_MANDAI,1.40982,103.77904,308
KHATIB_TO_MANDAI,1.40972,103.77915,309
KHATIB_TO_MANDAI,1.40965,103.77921,310
KHATIB_TO_MANDAI,1.40954,103.77934,311
KHATIB_TO_MANDAI,1.40944,103.77944,312
KHATIB_TO_MANDAI,1.40933,103.77958,313
KHATIB_TO_MANDAI,1.40927,103.77964,314
KHATIB_TO_MANDAI,1.40921,103.7797,315
KHATIB_TO_MANDAI,1.40911,103.77977,316
KHATIB_TO_MANDAI,1.40904,103.77981,317
KHATIB_TO_MANDAI,1.409,103.77984,318
KHATIB_TO_MANDAI,1.40894,103.77988,319
KHATIB_TO_MANDAI,1.40888,103.77994,320
KHATIB_TO_MANDAI,1.40882,103.78,321
KHATIB_TO_MANDAI,1.40875,103.78006,322
KHATIB_TO_MANDAI,1.4087,103.78013,323
KHATIB_TO_MANDAI,1.408595,103.780294,324
KHATIB_TO_MANDAI,1.40843,103.78041,325
KHATIB_TO_MANDAI,1.40829,103.78057,326
KHATIB_TO_MANDAI,1.40826,103.7806,327
KHATIB_TO_MANDAI,1.40813,103.7808,328
KHATIB_TO_MANDAI,1.40813,103.78082,329
KHATIB_TO_MANDAI,1.40803,103.78105,330
KHATIB_TO_MANDAI,1.40795,103.7813,331
KHATIB_TO_MANDAI,1.40789,103.78138,332
KHATIB_TO_MANDAI,1.40785,103.78144,333
KHATIB_TO_MANDAI,1.40781,103.7815,334
KHATIB_TO_MANDAI,1.40775,103.78164,335
KHATIB_TO_MANDAI,1.40768,103.78188,336
KHATIB_TO_MANDAI,1.40764,103.78206,337
KHATIB_TO_MANDAI,1.40762,103.7822,338
KHATIB_TO_MANDAI,1.40762,103.78227,339
KHATIB_TO_MANDAI,1.40763,103.78235,340
KHATIB_TO_MANDAI,1.40763,103.78252,341
KHATIB_TO_MANDAI,1.40762,103.78263,342
KHATIB_TO_MANDAI,1.40761,103.78273,343
KHATIB_TO_MANDAI,1.40758,103.7829,344
KHATIB_TO_MANDAI,1.40754,103.78303,345
KHATIB_TO_MANDAI,1.4075,103.78321,346
KHATIB_TO_MANDAI,1.40747,103.78336,347
KHATIB_TO_MANDAI,1.40745,103.78341,348
KHATIB_TO_MANDAI,1.40744,103.78344,349
KHATIB_TO_MANDAI,1.40742,103.78354,350
KHATIB_TO_MANDAI,1.40739,103.78368,351
KHATIB_TO_MANDAI,1.40739,103.78381,352
